location,floor,name,品牌連結,資料來源網址,類別
桃園遠東百貨,1F,Whoo 后,https://www.feds.com.tw/tw/40/MallInfo/FloorStore?FloorId=76&StoreId=6583&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/40/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,彩妝保養
桃園遠東百貨,1F,YSL,https://www.feds.com.tw/tw/40/MallInfo/FloorStore?FloorId=76&StoreId=11587&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/40/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,彩妝保養
桃園遠東百貨,2F,Dleet李倍,https://www.feds.com.tw/tw/40/MallInfo/FloorStore?FloorId=75&StoreId=11588&tab=floor-2F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/40/MallInfo?tab=floor-2F&Source=Website&EntryPoint=info_floors,國際設計師
桃園遠東百貨,2F,CHARIN YEH 葉珈伶,https://www.feds.com.tw/tw/40/MallInfo/FloorStore?FloorId=75&StoreId=9795&tab=floor-2F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/40/MallInfo?tab=floor-2F&Source=Website&EntryPoint=info_floors,國際設計師
桃園遠東百貨,2F,HUANG SHU CHI,https://www.feds.com.tw/tw/40/MallInfo/FloorStore?FloorId=75&StoreId=11930&tab=floor-2F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/40/MallInfo?tab=floor-2F&Source=Website&EntryPoint=info_floors,國際設計師
桃園遠東百貨,2F,ISABELLE WEN 溫慶珠,https://www.feds.com.tw/tw/40/MallInfo/FloorStore?FloorId=75&StoreId=9794&tab=floor-2F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/40/MallInfo?tab=floor-2F&Source=Website&EntryPoint=info_floors,國際設計師
桃園遠東百貨,2F,J&NINA,https://www.feds.com.tw/tw/40/MallInfo/FloorStore?FloorId=75&StoreId=10635&tab=floor-2F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/40/MallInfo?tab=floor-2F&Source=Website&EntryPoint=info_floors,國際設計師
桃園遠東百貨,2F,La Féta,https://www.feds.com.tw/tw/40/MallInfo/FloorStore?FloorId=75&StoreId=3761&tab=floor-2F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/40/MallInfo?tab=floor-2F&Source=Website&EntryPoint=info_floors,女性服飾
桃園遠東百貨,2F,LAUTRĒAMONT,https://www.feds.com.tw/tw/40/MallInfo/FloorStore?FloorId=75&StoreId=3769&tab=floor-2F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/40/MallInfo?tab=floor-2F&Source=Website&EntryPoint=info_floors,女性服飾
桃園遠東百貨,2F,mia mia,https://www.feds.com.tw/tw/40/MallInfo/FloorStore?FloorId=75&StoreId=3809&tab=floor-2F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/40/MallInfo?tab=floor-2F&Source=Website&EntryPoint=info_floors,女性服飾
